F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,Emotion_Code,Emotion
33.696045,0.16912428,28.514023,35.07138,38.932053,10.41803,537.6892,706.89886,43.918533,41.81242,1.4661975,1.0000952,0.112586856,1.0244701,2.8920445,2.7794576,28.797997,17.464615,34.78345,22.537346,1.3172299,1.3100528,9.389563,1.0886699,-3.4594705,-3.622201,0.96755886,12.273953,-5.3424196,-2.512948,0.061979406,1.3621931,1.5827029,0.6338727,0.65417004,4.883933,3.4977076,2.5162075,11.882325,0.5271363,743.33514,0.40594077,1027.0914,0.3602766,-123.07033,-0.7586499,1779.809,0.19221358,763.6335,0.41207245,-111.818184,-0.83253187,2862.8147,0.12929663,591.4842,0.5096484,-113.23206,-0.8087162,-3.588722,-1.2790707,12.137281,0.5142738,0.057209536,0.67543757,-0.013972334,-0.83797425,2.5748606,0.7151056,12.848864,0.6163113,-7.9111257,-1.39834,-1.963085,-6.564351,-14.038912,-1.0048627,-3.5563874,12.258609,0.011811257,0.0020397566,0.31832144,3.2679741,2.6431718,0.1625,0.08227241,0.17999999,0.2784849,-21.43602,2,happy
33.345646,0.2106193,28.476673,31.906757,39.194614,10.717941,247.04396,216.1514,110.27057,63.193665,1.6610223,1.1338117,0.07951283,0.7220262,3.5256236,3.4461107,55.141098,40.641388,51.77604,31.509981,1.6128861,1.3294688,8.82665,1.1274438,-4.0122156,-3.7057111,7.363135,1.7728988,-4.629304,-3.9562864,0.07701146,1.8567224,1.6410378,0.6865557,-0.46481633,-8.744716,-0.3545543,-31.266836,3.3112688,3.5801632,872.0406,0.30589744,820.25494,0.39295253,-98.56232,-0.9714319,1952.3546,0.1822308,686.07495,0.5151624,-93.95786,-0.9945648,3000.8638,0.11559223,543.02576,0.46222925,-93.873276,-0.9940214,-0.85603184,-9.515606,8.426276,1.121398,0.03899795,1.1989279,-0.008456215,-1.5729795,2.8312836,0.8025855,9.1606045,1.2399329,-9.905247,-1.3727118,6.883761,2.2420015,-13.218047,-1.4356184,-6.042662,16.326244,-0.013519477,0.008309468,0.24189408,3.4313726,2.75,0.1890909,0.11727626,0.15272726,0.20063947,-20.065517,2,happy
22.22406,0.091648676,20.170322,22.580284,24.03524,3.8649178,74.35598,66.84938,28.64486,19.407816,1.6926931,0.64048624,0.6302428,1.6394675,2.555996,1.9257531,28.81518,11.867587,29.048962,14.648518,1.3336841,0.7021929,20.047293,0.62909037,2.3841712,4.116095,15.971449,1.0099311,-7.9941034,-1.6970879,0.03612907,2.2103698,2.029354,0.669347,1.0152105,3.765007,0.85714626,14.50211,15.349636,0.95876884,684.56757,0.48483986,1089.941,0.31323454,-43.972496,-1.6356297,1724.5741,0.20489746,811.2978,0.4060939,-49.021736,-1.4221638,2774.1938,0.14314263,749.2263,0.48577112,-51.74934,-1.3196104,-9.999313,-0.5488877,17.280254,0.44176868,0.027446622,1.546567,-0.018215442,-0.6438834,1.5052856,0.60336405,23.747955,0.40860066,1.1975871,8.2273,18.115885,0.94760996,-9.375576,-1.510084,-2.6994293,9.013383,-0.007338592,-0.007712198,0.7775703,6.363636,2.7906978,0.27833334,0.24141364,0.08,0.025495097,-20.558403,1,neutral
35.855717,0.20374152,29.28604,37.06915,42.7894,13.503359,251.2241,217.7414,48.341293,43.96524,1.9174235,0.8148284,0.40948197,1.5826857,3.3062801,2.8967981,43.896843,22.795767,41.06728,24.355528,1.6776868,1.0417371,9.060025,1.0821047,-11.973168,-1.0002961,3.988174,3.4691443,-11.802078,-1.4088756,0.03450204,1.3545693,1.4996349,0.61589134,1.1306952,3.9934506,4.039863,1.9320855,8.06741,0.8948282,887.075,0.30970287,822.89575,0.34065548,-80.55066,-1.128554,1978.9043,0.15366723,654.1171,0.52110374,-75.7605,-1.1518216,3050.388,0.11264088,669.7895,0.534431,-75.86138,-1.1385182,-1.0790787,-4.576294,8.231205,0.75662917,0.061837215,0.74427146,-0.009801522,-1.2100084,2.3503606,0.75949126,9.801461,0.9056945,-13.948249,-0.88393795,3.3984747,4.4664783,-17.299463,-1.0055577,-0.16744965,7.7130966,0.0012580246,-0.0006861993,0.508962,4.661017,3.640257,0.16764705,0.13237777,0.08166667,0.08308295,-20.392633,2,happy
21.238237,0.29527527,19.715677,20.378372,21.080877,1.3652,35.681053,0.0,-321.3867,0.0,0.5050925,0.68369234,0.10230079,0.55186254,0.77221596,0.6699152,8.759595,5.1193357,8.221007,4.607977,0.22597213,0.8147756,9.386902,1.1392496,7.1592317,1.2146503,14.280827,0.7122632,5.9161005,1.7459652,0.04015064,0.8011718,1.8192664,0.77899694,0.6687586,4.640803,11.042315,1.3088284,15.988697,0.6174469,810.7074,0.33889157,980.94324,0.29068905,-120.468704,-0.7348868,1892.1145,0.16848305,722.63654,0.39202386,-119.679344,-0.72375447,2914.6494,0.13193709,649.7465,0.5836805,-119.72692,-0.7222444,-9.425162,-0.76767147,16.436666,0.53842586,-0.02285888,-1.4556586,-0.005281928,-1.6501149,0.31622964,0.4528815,16.15127,0.5604284,6.114532,1.315156,17.101965,0.67708814,7.4033155,1.7241597,-5.538287,12.43353,-0.026212994,-0.001131273,0.15934071,5.28169,2.1505377,0.19833334,0.16446039,0.21,0.3047247,-36.423637,3,sad
21.334454,0.103065856,19.228012,21.54364,23.19677,3.9687576,152.79861,121.21781,3.6506546,19.735203,1.6393375,0.67483944,0.4212604,1.6495373,2.5185664,2.097306,33.7803,17.17362,31.806541,15.518407,1.4588752,0.8219659,19.792875,0.5932821,2.3112178,3.7942388,15.911778,1.1050447,-9.312997,-1.6555728,0.023526736,0.9549296,2.0190527,0.7087262,0.70437247,4.4873514,5.223385,3.0433543,16.084229,0.5771392,600.93677,0.43495482,1095.908,0.16026224,-57.84016,-1.4075938,1680.5077,0.20279488,645.3915,0.43816876,-62.725883,-1.2367159,2690.0022,0.12444008,698.10724,0.4862111,-63.628162,-1.2063503,-10.087916,-0.44827235,17.742636,0.30028868,0.01741939,2.159948,-0.018858999,-0.625169,1.7495502,0.6946638,23.89332,0.33039513,1.0912867,7.8902335,19.389477,0.9711466,-11.483838,-1.4442338,-4.3898287,12.113784,-0.006539504,-0.0051328996,0.72948194,6.1576357,2.992519,0.23833333,0.14229272,0.088999994,0.07147727,-20.931826,1,neutral
32.393307,0.11008517,30.01323,33.287003,35.219395,5.2061653,141.37373,146.42012,51.15145,64.67642,1.9200896,0.73650116,0.39283004,1.824536,2.952061,2.5592308,33.25436,22.394182,32.924606,24.463945,1.5469354,0.91544867,10.80348,0.9335635,-1.940626,-5.396053,11.254388,1.1241106,-6.5010533,-1.9662491,0.026346432,1.0771148,1.4778935,0.5747637,2.4426436,1.4717828,0.16562743,41.724926,10.880095,0.6495851,751.17114,0.44636688,945.05084,0.32153347,-86.46851,-1.0647533,1865.9645,0.19492473,628.7012,0.47667983,-79.08838,-1.1010095,2886.2256,0.13720284,660.484,0.48913792,-79.236885,-1.0973195,-4.023683,-1.171541,10.606997,0.59350044,0.063837916,0.66883236,-0.014233106,-0.5752994,2.1211576,0.67143035,13.494041,0.6126605,-3.9893777,-2.4169757,11.182875,1.3340268,-13.11305,-0.8461546,-4.0488253,10.91147,-0.020668939,-0.006942718,0.6105571,4.845815,2.7027028,0.22666666,0.22491974,0.10428572,0.08616547,-20.632162,2,happy
19.722933,0.09698945,18.73685,20.03233,20.944214,2.2073631,137.89096,96.6881,72.09896,41.386486,0.37720293,0.93882686,0.08826347,0.25425625,0.6340778,0.54581434,9.285938,6.393543,9.499069,6.0012546,0.18604909,1.2296075,6.335654,1.6780845,7.013254,1.0661435,11.761548,0.8023608,1.6557136,6.2544994,0.036442958,0.51076686,2.079232,0.7358712,-1.2688913,-2.2675183,15.307549,0.84895265,17.116882,0.3745312,857.93207,0.27156597,1008.3372,0.24626482,-170.94073,-0.3621821,1931.8481,0.1476084,681.0413,0.5089309,-171.73427,-0.35075495,2917.177,0.107568994,720.6126,0.6200759,-171.33826,-0.3560545,-9.910523,-0.5349797,16.48366,0.37806293,-0.032360587,-0.86883324,-0.006653016,-1.6211331,0.28300327,0.54485226,16.623375,0.39779052,5.361484,1.3415699,18.275352,0.4909503,1.5186645,10.4075,-4.4178696,11.498175,-0.014032432,-0.0022025618,0.16787997,3.8251367,2.5735295,0.055714287,0.048508357,0.29133332,0.48585138,-38.652153,3,sad
21.080736,0.08439252,19.578753,21.455864,22.561329,2.9825764,110.56319,95.52774,21.085,14.406149,1.7579144,0.5655129,0.7746501,1.8437773,2.5612612,1.7866111,30.120758,13.545074,28.627632,13.600445,1.5117859,0.697713,20.098204,0.64774877,2.653348,4.3282537,10.265576,1.3083272,-9.748176,-1.7083628,0.03550429,1.5964675,1.5324924,0.7055722,0.3439351,9.068538,4.7792363,1.7123411,17.49941,0.41358006,595.95233,0.41361034,1158.6985,0.19987945,-58.472675,-1.4230372,1654.8561,0.21336743,747.27075,0.3730303,-64.50181,-1.2297163,2660.5986,0.13266805,634.9016,0.40779746,-66.5531,-1.1717443,-10.771034,-0.4964951,19.01203,0.33727652,0.021984227,1.7909794,-0.020016294,-0.5298877,1.7511295,0.6237551,25.769506,0.3246177,0.3524346,33.7465,11.56726,1.2614459,-11.838605,-1.5997032,-4.089384,10.209751,-0.013943164,-0.008884055,0.99808747,6.143345,3.4722223,0.197,0.18275942,0.07555555,0.05659036,-20.748798,1,neutral
21.726202,0.29074922,19.479242,20.819433,21.837437,2.3581944,167.07254,216.6971,191.8414,103.54906,0.3899619,0.9472536,0.097997904,0.25637767,0.6309993,0.5330014,12.569592,8.787265,7.8643055,4.8511686,0.19135964,1.3321553,9.065252,1.0023704,8.13481,1.0366981,11.275262,0.9615915,3.033009,3.6174304,0.039287943,0.6336734,2.0337648,0.6942548,-0.03195392,-93.61929,15.314795,1.4953319,16.471409,0.75363916,760.45636,0.316087,1055.4784,0.2931882,-160.16162,-0.43942285,1840.3418,0.17811917,765.1992,0.3932078,-159.16162,-0.43686157,2856.5286,0.1063304,695.4704,0.6120555,-158.9467,-0.44129398,-12.567976,-0.6486224,20.112682,0.4866026,-0.034514327,-1.0918772,-0.008070205,-1.7216474,0.29220286,0.89952147,17.498411,0.50586706,9.598,0.8904458,18.197063,0.73533624,3.041984,5.279217,-5.2398696,12.542072,-0.010506449,-0.0012458098,0.1636459,2.8761063,2.9082775,0.07076923,0.07829545,0.27166665,0.46477294,-38.084225,3,sad
