F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,Emotion_Code,Intensity_Code,Emotion
35.217274,0.11318788,32.466465,33.65696,40.141705,7.6752396,16.421629,5.971373,24.645716,5.09639,0.12400934,1.3032728,0.008863322,0.028217427,0.2388228,0.22995949,4.521987,2.8385477,3.2572508,1.6685693,0.04505356,1.59423,15.765277,1.0555955,5.4304194,1.9830697,2.157923,5.8224173,-5.21384,-2.7946324,0.01930932,1.0835199,1.2108743,0.5206969,8.071363,0.39124823,7.3828244,1.245564,26.365948,0.47723642,611.02606,0.33690444,1217.2496,0.26380405,-146.10252,-0.58349115,1684.0513,0.2061061,894.6396,0.40939635,-142.19302,-0.5812629,2723.8066,0.14491685,902.9332,0.45785573,-143.94618,-0.55619085,-15.091189,-0.6843033,23.594765,0.49548563,0.13072124,0.24689831,-0.021916304,-0.5054416,0.122496106,0.66062224,29.297533,0.56065077,3.44568,4.787413,5.048808,3.5588145,-13.209205,-1.3354979,-6.910323,14.275124,0.0922594,0.0006938532,0.010290548,2.486188,1.4005603,0.222,0.14019985,0.39166668,0.4499043,-46.264347,3,1,sad
38.109074,0.09118481,37.689667,38.683445,40.117264,2.427597,109.511986,55.505623,66.582275,46.894505,0.21417995,1.1381861,0.011394884,0.12356014,0.43649307,0.42509818,6.8528523,3.0522623,4.7050414,2.9287484,0.095312364,1.4614698,9.964212,1.9460192,-0.22314961,-59.839737,1.7312425,6.321667,-4.641632,-3.0136418,0.04177764,1.7121763,1.1756577,0.57545733,7.0146976,0.76603144,10.016888,0.9322515,21.392553,0.50952876,577.6884,0.380912,1337.569,0.34373692,-152.254,-0.5419481,1618.9476,0.17633684,919.7992,0.35495892,-134.6868,-0.6409409,2574.3848,0.11683872,973.3814,0.5021292,-135.6665,-0.6270021,-13.604963,-0.58426064,22.232502,0.44549304,0.12414877,0.19415843,-0.025644477,-0.46522194,0.23884524,0.58096707,28.611254,0.5256011,-6.1355076,-2.1608505,-0.08805685,-166.77658,-14.727501,-1.0629225,0.5351851,5.8429794,0.08546739,-8.529477e-05,0.015955633,3.2258065,1.0899183,0.3225,0.14201672,0.45799997,0.41101825,-40.471703,3,2,very sad
35.192616,0.088153504,31.82637,36.534912,38.012054,6.185684,55.5843,22.783394,24.429491,3.9305077,0.34884807,1.3685817,0.0112215085,0.03796791,0.6615013,0.65027976,11.556399,6.7803597,8.755178,9.071505,0.18696667,1.7995116,8.996054,1.8694357,1.310673,11.334562,6.3734293,2.4023361,-3.049293,-6.0828314,0.02161438,1.1249603,1.0464873,0.76672786,5.796848,0.6930218,4.132626,2.3710241,14.905442,0.52045727,462.63977,0.3619782,1155.129,0.26677048,-141.48923,-0.62554306,1534.6224,0.16211793,793.61707,0.5718382,-130.81262,-0.6754649,2599.3796,0.10071263,847.8992,0.63156044,-131.16692,-0.66847694,-10.135061,-0.86839825,17.638914,0.5395666,0.10948888,0.2587271,-0.0203751,-0.6558181,0.47509757,0.85914934,24.402529,0.6046419,-5.7897644,-3.1132765,10.325436,2.0398993,-19.469017,-1.0278609,-0.9605167,7.62052,0.07076073,0.008600549,0.017509796,2.110818,1.0695187,0.345,0.20105968,0.454,0.4436485,-34.293327,2,2,very happy
37.502975,0.14673246,34.76493,37.58049,43.441704,8.676773,115.45728,125.32834,87.84842,107.877525,0.26926666,1.356073,0.011238403,0.03430054,0.54534286,0.53410447,10.217125,6.592082,6.551229,3.477283,0.13241276,1.5477008,8.5413475,1.9868766,0.08221767,163.20757,5.219804,2.5899966,-3.9118552,-4.5971003,0.036218673,2.5452483,1.1891903,0.6294223,7.158018,0.63364905,6.8769026,1.525982,16.868193,0.616482,606.58966,0.46736985,1166.3387,0.22287697,-141.0647,-0.6231558,1683.6438,0.18897298,878.15936,0.4380507,-130.93848,-0.6682623,2700.1082,0.14148653,803.1074,0.40140748,-131.48512,-0.6591692,-9.610191,-0.9695928,18.829077,0.5257005,0.10229159,0.39875945,-0.017745245,-0.8948586,0.3278118,0.66345894,22.53125,0.68336755,-4.752095,-3.4607534,2.905021,6.743615,-16.89373,-1.2374377,-0.07875619,7.4094806,0.06374048,0.0058502695,0.014576037,2.4590166,1.1080333,0.33499998,0.24377243,0.54249996,0.450576,-37.21803,2,1,happy
35.21158,0.14420313,31.362669,33.942287,37.485397,6.1227283,125.84814,152.96266,44.248386,25.616253,0.13269374,1.2496827,0.0073307822,0.043944806,0.2740794,0.26674864,3.5886846,3.1408122,2.9476821,2.0326214,0.044380177,1.6065565,12.512883,1.5286537,5.122371,2.361215,3.7742145,3.457547,-2.0040967,-7.0992856,0.02365818,1.4925268,1.0338391,0.72168183,8.107362,0.49971294,7.204321,1.1211916,24.49609,0.42781013,672.96783,0.40279,1170.5148,0.25280792,-137.26451,-0.6416458,1764.2932,0.2231753,859.5476,0.65752244,-134.6316,-0.62418044,2744.1445,0.13871805,791.0386,0.41961494,-136.30545,-0.5991674,-13.870154,-0.8456656,23.299053,0.5084241,0.113980256,0.33142716,-0.021930126,-0.7235466,0.10482325,0.8178406,28.781225,0.66228604,4.472814,3.8071034,3.8216743,4.777149,-8.515555,-2.005454,-3.41629,10.831873,0.07720509,0.0052180435,0.011431127,2.0725389,1.8372704,0.19142856,0.095233336,0.32999998,0.43302917,-45.472893,4,2,calm
33.987736,0.08041172,32.001114,34.88646,36.00021,3.999096,33.14975,19.62584,23.433704,7.6943393,0.16311078,1.3576927,0.004843203,0.023786647,0.30030337,0.29546016,4.71386,3.883864,3.1616993,1.259588,0.06453123,1.6390065,12.431848,1.6574538,7.3308897,1.8810574,4.298538,3.1445966,-3.1944966,-4.2872906,0.01729517,1.1037917,1.124174,0.6555359,7.3803205,0.4759824,4.7053986,1.9083209,24.841856,0.44884726,540.61694,0.3154857,1210.987,0.16961007,-134.95442,-0.6679369,1632.2045,0.15854551,824.70294,0.43237388,-135.02151,-0.6267004,2689.3706,0.10334373,954.3253,0.48873132,-136.74655,-0.602169,-15.246427,-0.6171525,24.307886,0.54554147,0.12205097,0.24656804,-0.024448866,-0.5068889,0.16306908,0.73666686,31.873144,0.5467837,3.627962,4.7981343,6.768297,2.8127134,-14.237217,-1.0607245,-3.1816359,10.21821,0.094160646,0.009475238,0.012317447,1.9662921,1.4245014,0.24799998,0.08518215,0.42999998,0.43382022,-42.634357,1,1,neutral
32.854576,0.08009014,29.83538,33.130493,35.61869,5.78331,9.142658,3.8272316,14.17019,6.03338,0.12691876,1.2719216,0.003159883,0.03539742,0.23425423,0.23109435,2.5142539,1.4336958,3.0226698,2.725249,0.035763893,1.5632093,13.013477,1.5090532,9.212227,1.4137336,4.80901,2.633667,-1.0766878,-13.264119,0.014161191,1.1683273,0.7869547,0.83081216,8.0022545,0.5071962,8.067127,1.2277792,26.168392,0.3816805,588.99634,0.31559744,1276.7076,0.2070829,-129.60512,-0.7045384,1654.447,0.19163153,891.53253,0.58748066,-132.63937,-0.63715863,2721.9668,0.12418739,791.47736,0.40450963,-134.39444,-0.6114256,-16.555162,-0.5352163,24.901798,0.43870533,0.11835524,0.2695461,-0.023839612,-0.55837965,0.0830252,0.7700467,30.202913,0.55371237,10.285652,1.5653015,8.400302,1.8554825,-7.7744007,-2.4070873,-3.9564562,10.516866,0.09719475,0.0076343915,0.0084324945,2.3746703,1.3368984,0.278,0.14620534,0.3733333,0.41803774,-45.465107,4,1,calm
38.887108,0.091024764,36.71303,39.205063,42.071648,5.358616,116.72799,178.14348,45.860672,20.872522,0.3703545,1.3296306,0.0049706097,0.047828276,0.74585056,0.74087995,11.358672,6.5711555,8.447264,4.2054057,0.20084712,1.500467,10.052838,1.5428811,-2.5274448,-5.7557764,2.0212097,6.623265,-5.7639933,-3.3123333,0.018683359,1.4151579,1.0617492,0.49715552,7.506423,0.50768477,6.265081,1.9093822,13.96987,0.6560542,612.2642,0.43266445,1255.1415,0.31135055,-147.79048,-0.5622138,1632.4727,0.18875194,932.00073,0.5706018,-127.5504,-0.6998961,2663.417,0.1294636,784.49054,0.513154,-128.31175,-0.68447053,-8.298719,-1.0936157,17.231592,0.544219,0.11540985,0.2537999,-0.016693242,-0.8625621,0.48612747,0.6343869,20.852571,0.7534327,-10.503811,-1.8565031,-0.83443606,-21.825697,-19.930902,-1.0688848,-1.8545698,9.446303,0.090046756,0.009688323,0.023230385,2.6595745,1.347709,0.28399998,0.147051,0.3633333,0.44809473,-34.18425,2,2,very happy
34.45459,0.08764171,31.992432,33.751865,37.750618,5.7581863,107.16405,149.07423,20.824293,2.7244234,0.2445778,1.3766023,0.009198398,0.024085559,0.46956056,0.46036217,6.398365,4.5936856,4.7549634,2.2264864,0.10957081,1.6406552,14.715455,1.0953208,9.693512,1.5678581,8.760564,1.5622427,-0.19563262,-84.12936,0.016719578,0.8877398,1.0995954,0.58518416,7.0022364,0.46797025,6.8978353,1.3701242,21.522266,0.5191611,545.1052,0.4079121,1156.6636,0.20061272,-127.86693,-0.7332449,1622.8075,0.15706055,830.0474,0.47014046,-127.23184,-0.69415486,2672.4436,0.11210894,902.29486,0.5604998,-128.33734,-0.6762476,-13.190406,-0.6198934,21.675766,0.45509365,0.12053759,0.25991327,-0.021639097,-0.5230471,0.26307765,0.7637329,27.584257,0.58252776,0.57655627,32.508842,8.715107,2.2506073,-11.673115,-1.6593316,-7.613103,15.695953,0.061815005,0.0021800783,0.0075070583,1.8817204,0.8174387,0.48666668,0.14522015,0.53499997,0.43889064,-38.541653,2,1,happy
31.47448,0.07042556,29.603262,30.952635,33.858807,4.2555447,15.274064,6.5876427,12.13974,1.1924882,0.133743,1.1765186,0.0042703548,0.04873866,0.2671088,0.26283845,3.6509285,2.625925,2.5549116,2.6893206,0.037966635,1.5723827,13.978394,1.468888,7.536092,1.8002993,2.4796565,5.683963,0.36760154,33.334984,0.01701334,1.2406893,0.99548566,0.7084316,6.9682636,0.6052823,4.944214,1.6009302,25.139778,0.4673315,582.73956,0.308361,1245.021,0.19439828,-123.9149,-0.7555626,1655.4307,0.16121435,829.3888,0.4548174,-127.828606,-0.6818784,2706.4065,0.097517215,884.0844,0.51089424,-130.50266,-0.6418881,-15.410106,-0.5570119,25.276312,0.4650328,0.11701009,0.30700403,-0.02452692,-0.50066036,0.08355519,0.8239718,32.794235,0.49742055,9.384694,1.8141732,4.1728086,4.64709,-2.6745684,-5.9054356,-2.5272105,9.4284115,0.1012411,0.007899697,0.010399097,2.3746703,1.0695187,0.37,0.18179658,0.43400002,0.43074816,-46.001587,4,2,calm
